"Y","DsdA","Sdr","SdaAa","SdaAb","AgxT1","AgxT2","SdaC","SdaP","MerR","DsdT"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","0","0","0"
"1","0","0","0","0","1","0","0","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"1","0","0","1","1","0","0","1","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","0","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","1","0","1","1","0","1","1","0","0","0"
"1","0","0","0","0","0","1","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","1","0","0","1"
"1","0","0","1","1","0","0","1","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","1","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","1","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","1","0","0","1"
"1","0","0","1","1","0","0","1","0","0","1"
"1","1","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","1","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","1","0","0","0","0","1"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","1"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","1","0","1","1","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","1","0","0","0","0","0"
"1","0","0","1","1","0","0","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
"1","0","0","1","1","0","1","0","0","0","0"
